#Re    B    Pr    Pe    BPe    lb    ub    uh_rms    uh_err    vortz_rms    vortz err    wrms    wrms err    tdisp    tdisp_err    mdisp    mdisp_err    eta (local)    eta (local) err    eta (global)    eta (global) err    lam wrms    lam wrms err    lam tdisp    lam tdisp err    lam mdisp    lam mdisp err    lam eta (local)    lam eta (local) err    lam eta (global)    lam eta (global) err    turb wrms    turb wrms err    turb tdisp    turb tdisp err    turb mdisp    turb mdisp err    turb eta (local)    turb eta (local) err    turb eta (global)    turb eta (global) err    lam_Fr wrms    lam_Fr wrms err    lam_Fr tdisp    lam_Fr tdisp err    lam_Fr mdisp    lam_Fr mdisp err    lam_Fr eta (local)    lam_Fr eta (local) err    lam_Fr eta (global)    lam_Fr eta (global) err    turb_Fr wrms    turb_Fr wrms err    turb_Fr tdisp    turb_Fr tdisp err    turb_Fr mdisp    turb_Fr mdisp err    turb_Fr eta (local)    turb_Fr eta (local) err    turb_Fr eta (global)    turb_Fr eta (global) err    lam_Fr_vortz wrms    lam_Fr_vortz wrms err    lam_Fr_vortz tdisp    lam_Fr_vortz tdisp err    lam_Fr_vortz mdisp    lam_Fr_vortz mdisp err    lam_Fr_vortz eta (local)    lam_Fr_vortz eta (local) err    lam_Fr_vortz eta (global)    lam_Fr_vortz eta (global) err    turb_Fr_vortz wrms    turb_Fr_vortz wrms    turb_Fr_vortz tdisp    turb_Fr_vortz tdisp    turb_Fr_vortz mdisp    turb_Fr_vortz mdisp err    turb_Fr_vortz eta (local)    turb_Fr_vortz eta (local) err    turb_Fr_vortz eta (global)    turb_Fr_vortz eta (global) err    vlam avg    vlam err    vturb avg    vturb err    vlam_Fr avg    vlam_Fr err    vturb_Fr avg    vturb_Fr err    vlam_Fr_vortz avg    vlam_Fr_vortz err    vturb_Fr_vortz avg    vturb_Fr_vortz err    lam wrms wght    lam wrms wght err    turb wrms wght    turb wrms wght err    lam wrms eff wght    lam wrms eff wght    turb wrms eff wght    turb wrms eff wght    


# Index 010: Re = 600.02, Pe =  30.00
6.0002e+02    1.0000e+01    5.0003e-02    3.0003e+01    3.0003e+02    2.6000e+02    3.0000e+02    2.0522e+00    1.2349e-01    7.2517e+00    8.2532e-01    5.6048e-01    5.8273e-02    8.8195e-01    1.4084e-01    1.9764e+02    4.0874e+01    5.5762e-01    1.2653e-02    4.7336e-01    1.6503e-02    5.2046e-01    5.2586e-02    8.1867e-01    1.2862e-01    9.9066e+01    1.7023e+01    6.3876e-01    1.2139e-02    6.2336e-01    1.5605e-02    5.7651e-01    5.9426e-02    9.0862e-01    1.4428e-01    2.3904e+02    4.5596e+01    5.1891e-01    1.0831e-02    4.3299e-01    1.3323e-02    5.1932e-01    5.2690e-02    8.1771e-01    1.2975e-01    9.7484e+01    1.2975e-01    6.4197e-01    1.2213e-02    6.2688e-01    1.5863e-02    5.7105e-01    5.8719e-02    8.9926e-01    1.4241e-01    2.2451e+02    4.3197e+01    5.3204e-01    1.1314e-02    4.4597e-01    1.3992e-02    5.2249e-01    5.2613e-02    8.1984e-01    1.2718e-01    1.0209e+02    1.7364e+01    6.3278e-01    1.2088e-02    6.1660e-01    1.5327e-02    5.8499e-01    6.0852e-02    9.2432e-01    1.4828e-01    2.6265e+02    5.0337e+01    4.9902e-01    1.0195e-02    4.1416e-01    1.2633e-02    3.0030e-01    2.5630e-02    6.9970e-01    2.5630e-02    2.1593e-01    2.4188e-02    7.8407e-01    2.4188e-02    4.0892e-01    2.4799e-02    5.9108e-01    2.4799e-02    5.1358e-01    5.2058e-02    6.9402e-01    9.1962e-02    2.5013e-01    1.9339e-02    3.3731e-01    3.1032e-02    
# Index 011: Re = 600.02, Pe =  30.00
6.0002e+02    1.0000e+02    5.0003e-02    3.0003e+01    3.0003e+03    3.0000e+02    4.0000e+02    2.5081e+00    1.3545e-01    5.5081e+00    1.2872e+00    2.5340e-01    4.4865e-02    7.8321e-02    2.0539e-02    2.8642e+02    6.0756e+01    4.7472e-01    1.7208e-02    3.5115e-01    2.3972e-02    2.2038e-01    3.4055e-02    6.2131e-02    1.3518e-02    1.7667e+02    1.8080e+01    5.0172e-01    2.1131e-02    4.0891e-01    3.2126e-02    3.0989e-01    5.7274e-02    1.1185e-01    2.9287e-02    5.1414e+02    9.0343e+01    4.1041e-01    1.8585e-02    2.9977e-01    2.6474e-02    2.1655e-01    3.3298e-02    5.9178e-02    1.3067e-02    1.6561e+02    1.3067e-02    5.0572e-01    2.1870e-02    4.1271e-01    3.2832e-02    2.8463e-01    5.1526e-02    9.7284e-02    2.4546e-02    4.0580e+02    7.3199e+01    4.4028e-01    1.6920e-02    3.2103e-01    2.4580e-02    2.2620e-01    3.5356e-02    6.5558e-02    1.4423e-02    1.9466e+02    2.1455e+01    4.9396e-01    2.0201e-02    3.9855e-01    3.1060e-02    3.4969e-01    6.6755e-02    1.3585e-01    3.8239e-02    7.0359e+02    1.2669e+02    3.6993e-01    2.0554e-02    2.7487e-01    2.8349e-02    6.8626e-01    6.8338e-02    3.1374e-01    6.8338e-02    5.1126e-01    7.7852e-02    4.8874e-01    7.7852e-02    8.2692e-01    4.8781e-02    1.7308e-01    4.8781e-02    2.1519e-01    3.3605e-02    4.7885e-01    1.1996e-01    8.5884e-02    1.3531e-02    1.9008e-01    4.3178e-02    
# Index 012: Re = 600.02, Pe =  30.00
6.0002e+02    3.0000e+01    5.0003e-02    3.0003e+01    9.0009e+02    4.0000e+02    4.8000e+02    2.3607e+00    1.2012e-01    7.3965e+00    1.3040e+00    4.1204e-01    7.1485e-02    3.1699e-01    8.4192e-02    2.5635e+02    6.8181e+01    5.3076e-01    1.0063e-02    4.2597e-01    9.7413e-03    3.6409e-01    5.8690e-02    2.6504e-01    6.4224e-02    1.2699e+02    2.1916e+01    5.9566e-01    1.6675e-02    5.5262e-01    1.9277e-02    4.4129e-01    7.4844e-02    3.5124e-01    9.2403e-02    3.4169e+02    8.4487e+01    4.8148e-01    1.0665e-02    3.8068e-01    9.0748e-03    3.6213e-01    5.8681e-02    2.6201e-01    6.4193e-02    1.2339e+02    6.4193e-02    5.9960e-01    1.6870e-02    5.5678e-01    1.9685e-02    4.2935e-01    7.3555e-02    3.3744e-01    8.9007e-02    3.0570e+02    7.8012e+01    5.0190e-01    1.0475e-02    3.9798e-01    9.0439e-03    3.6842e-01    5.8953e-02    2.6996e-01    6.4812e-02    1.3514e+02    2.3120e+01    5.8630e-01    1.6261e-02    5.4183e-01    1.8899e-02    4.6087e-01    7.6881e-02    3.7459e-01    9.8023e-02    4.0555e+02    9.5366e+01    4.4987e-01    1.1253e-02    3.5531e-01    9.9868e-03    4.0813e-01    4.1437e-02    5.9187e-01    4.1437e-02    2.7940e-01    3.2677e-02    7.2060e-01    3.2677e-02    5.6285e-01    4.8115e-02    4.3715e-01    4.8115e-02    3.6133e-01    5.5556e-02    5.9298e-01    1.1650e-01    1.5322e-01    2.3218e-02    2.5115e-01    4.7748e-02    


